address,city,hrsFri,hrsMon,hrsSat,hrsSun,hrsThu,hrsTue,hrsWed,inventoryStatus,isEligibleForDelivery,isEligibleForPickup,isEligibleForShipToHome,isSellable,latitude,longitude,phoneNumber,productQTY,state,storeNumber,storeServiceBitmap,storeType,zipCode
"400 Railroad Street","Hudson",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,41.856383,-84.360859,3133796498,0,"MI",14158,1083490,1,49247
"3330 Spring Arbor Rd","Jackson",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,42.226055,-84.456523,5177066055,0,"MI",12375,32866,1,49203-3636
"3857 Weatherwax Rd","Jackson",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,42.2065,-84.4363,5178792088,0,"MI",18885,1081442,1,49203
"9452 S Meridian Rd","Clarklake",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,42.1252,-84.3645,5175292421,0,"MI",17943,1083490,1,49234
"611 W Main St","Fayette",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,41.67288,-84.335791,4197401421,0,"OH",12245,34914,1,43521-9595
"5606 Bellevue Rd","Onondaga",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,42.44513,-84.56345,5176045054,0,"MI",24217,1081408,1,49264-9752
"6275 Rives Junction Rd","Jackson",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,42.3228,-84.4621,5174353920,0,"MI",18438,1083490,1,49201-8047
"2200 Wildwood Ave","Jackson",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,42.255555,-84.44084,5178794368,0,"MI",5888,32866,1,49202-3946
"1220 W Parnall Rd","Jackson",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,42.292,-84.4088,7344124652,0,"MI",6278,1083458,1,49201-7071
"1052 Cooper St","Jackson",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,42.261368,-84.404545,2692347765,0,"MI",13699,1081378,1,49202-3368
"216 W Morrell St","Jackson",0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0,False,False,False,False,42.2404,-84.4095,5178795708,0,"MI",21222,32834,1,49203-2352
"811 E Mcdevitt Ave","Jackson",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,42.196435,-84.39232,5173178329,0,"MI",13201,32866,1,49203-5968
"4457 Hull Rd","Leslie",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,42.45266,-84.440244,8104763231,0,"MI",12234,1083490,1,49251-9407
"1901 Francis St","Jackson",0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0,False,False,False,False,42.226785,-84.403021,7344124655,0,"MI",6025,1081378,1,49203-4201
"2400 E Michigan Ave","Jackson",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,42.2536,-84.3744,7344126021,0,"MI",7858,32866,1,49202
"4530 Page Ave","Michigan Center",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,42.2334,-84.3307,5178794770,0,"MI",9410,1083426,1,49254-1040
"4582 Brooklyn Rd","Jackson",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,42.1972,-84.3348,7346277760,0,"MI",21198,32866,1,49201
"5841 Ann Arbor Rd","Jackson",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,42.276299,-84.315375,2697296267,0,"MI",16064,1083490,1,49201-8860
"11743 Bunkerhill Rd","Pleasant Lake",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,42.382,-84.3242,7348819468,0,"MI",17478,1083490,1,49272
"16675 Cement City Rd","Cement City",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,42.07312,-84.32021,7344703450,0,"MI",23075,32832,1,49233
"132 S Cedar Street","Mason",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,42.582,-84.4529,5176235235,0,"MI",15185,34914,1,48854-2401
"317 Brooklyn Rd","Napoleon",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,42.163868,-84.253817,7342509120,0,"MI",16401,1083490,1,49261-4108
"300 Main St","Brooklyn",0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0,False,False,False,False,42.10037,-84.248608,7343169511,0,"MI",5838,1083490,1,49230-9307
"120 N Union St","Grass Lake",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,42.2533,-84.2043,7345624034,0,"MI",17713,34914,1,49240-9502
"2040 Aurelius Rd Ste 22","Holt",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,42.641677,-84.521648,5178895929,0,"MI",9958,32834,1,48842-1367
"14540 Us Hwy 223","Manitou Beach",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,42.0032,-84.2766,7344309042,0,"MI",17314,1083490,1,49253-9786
"6689 M 68","Alanson",0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0,False,False,False,False,45.442732,-84.777422,2313735350,0,"MI",12605,34914,1,49706-9203
"87 S Us Highway 31","Pellston",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,45.5499,-84.784,8104763236,0,"MI",20009,32866,1,49769-9333
"23 S Straits Hwy","Indian River",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,45.4616,-84.6093,2312383167,0,"MI",25204,1081408,1,49749
"399 N State Street","Saint Ignace",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,45.8692,-84.7287,9062988548,0,"MI",17355,34914,1,49781-1424
"1119 E State St Unit 14","Cheboygan",0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0,False,False,False,False,45.64203,-84.460992,2312680562,0,"MI",9121,34850,1,49721-2124
"10144 N Straits Hwy","Cheboygan",0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0,False,False,False,False,45.60678,-84.47344,2312687401,0,"MI",24393,32832,1,49721-9098
"293 E M 134","Cedarville",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,45.9996,-84.3568,9062988515,0,"MI",18249,32866,1,49719
"20651 State St","Onaway",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,45.3572,-84.227,9894744025,0,"MI",18704,34914,1,49765
"470 N M-129","Pickford",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,46.163,-84.363,2319770350,0,"MI",25611,32832,1,49774
"4914 W M 80","Kincheloe",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,46.2597,-84.4663,3134840209,0,"MI",20642,32866,1,49788-1621
"10842 W M 48 Business Spur","Rudyard",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,46.23072,-84.58898,9062660971,0,"MI",24820,32832,1,49780
"350 George St","De Tour Village",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,45.99516,-83.90206,3135720453,0,"MI",22650,32834,1,49725
"7753 Hwy M-123","Newberry",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,46.343193,-85.510459,9062913210,0,"MI",16481,34914,1,49868
"13219 M-28","Newberry",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,46.303,-85.4933,2319770363,0,"MI",30237,32768,1,49868
"303 W 5th St","Clare",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,43.8196,-84.7726,9894183197,0,"MI",20200,32866,1,48617-1418
"10496 S Clare Ave","Clare",0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0,False,False,False,False,43.835301,-84.768846,9894183120,0,"MI",10092,32866,1,48617-8909
"774 E Main St","Farwell",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,43.834,-84.857,9895445370,0,"MI",21940,32866,1,48622
"2400 W Cadillac Dr","Farwell",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,43.8577,-84.8996,9895445347,0,"MI",10268,1083490,1,48622-8789
"4737 N Mission Rd","Rosebush",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,43.70845,-84.76843,9893341730,0,"MI",22241,32866,1,48878-8723
"8254 W Ludington Dr","Lake",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,43.858971,-85.014225,2312533292,0,"MI",15956,1083490,1,48632-9572
"1555 N Clare Ave","Harrison",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,44.01053,-84.78977,9896304120,0,"MI",25460,1081408,1,48625
"461 Lake George Avenue","Lake George",0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0,False,False,False,False,43.964855,-84.947296,2312533057,0,"MI",15850,1081442,1,48633
"3425 N. Woodruff Rd","Weidman",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,43.689219,-84.969097,9894412019,0,"MI",14987,1083490,1,48893
"126a N Broad St","Harrison",0700:2200,0700:2200,0700:2200,0700:2200,0700:2200,0700:2200,0700:2200,0,False,False,False,False,44.0204,-84.8029,9896304905,0,"MI",9520,34914,1,48625-0616
"5072 E Pickard Rd","Mount Pleasant",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,43.61142,-84.74691,9895720608,0,"MI",23177,32832,1,48858
"6983 E Townline Lake Rd","Harrison",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,44.0322,-84.7074,9896304680,0,"MI",20836,32866,1,48625
"2421 E Remus Rd","Mount Pleasant",0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0,False,False,False,False,43.597743,-84.799067,9895720082,0,"MI",10305,1083490,1,48858-3080
"2980 S Winn Rd","Mount Pleasant",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,43.5978,-84.908,9895720855,0,"MI",17917,1083490,1,48858-9603
"5721 N Clare Ave","Harrison",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,44.0714,-84.7925,9896304740,0,"MI",19545,34914,1,48625-8713
"679 S Coldwater Rd","Weidman",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,43.6294,-84.98734,9894412074,0,"MI",22723,32834,1,48893
"2956 20 Mile Rd","Barryton",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,43.7562,-85.1475,3134568145,0,"MI",17449,1083490,1,49305-9713
"8092 S Winn Rd","Mount Pleasant",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,43.5238,-84.9062,9895720785,0,"MI",25324,1081408,1,48858
"355 E Wheatland Ave","Remus",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,43.59681,-85.14194,9898185165,0,"MI",23047,1081408,1,49340
"801 West 7th Street","Evart",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,43.899917,-85.27152,2315159003,0,"MI",6929,1083490,1,49631
"80 Jackson Rd","Blanchard",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,43.51698,-85.08758,9898185476,0,"MI",23740,32832,1,49310-9669
"501 N Mill St","Marion",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,44.1057,-85.1479,2316671134,0,"MI",20586,1081442,1,49665-9708
"7906 N Crystal Rd","Vestaburg",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,43.4079,-84.9054,9894886051,0,"MI",5867,34914,1,48891-9405
"12027 Mckinley Rd","Rodney",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,43.6733,-85.3245,2315988260,0,"MI",21425,32866,1,49342
"3450 W Houghton Lake Dr","Houghton Lake",0800:2000,0800:2000,0800:2000,0800:2000,0800:2000,0800:2000,0800:2000,0,False,False,False,False,44.299194,-84.707715,9892468933,0,"MI",8780,34914,1,48629-9007
"1011 Byron Ave","Houghton Lake",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,44.3272,-84.7813,9892790150,0,"MI",19946,34914,1,48629
"349 N Pine St","Mcbain",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,44.2001,-85.2144,2315590047,0,"MI",19039,34914,1,49657-9497
"5925 N Markey Rd","Roscommon",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,44.4203,-84.6844,9892790180,0,"MI",20182,34914,1,48653
"6067 W Jennings Rd","Lake City",0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0,False,False,False,False,44.309039,-85.216444,2318463205,0,"MI",6191,34914,1,49651-9012
"4591 Mackinaw Trl","Reed City",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,43.88216,-85.50926,2313456475,0,"MI",10323,34914,1,49677-8600
